Manufacturer,Model,Engine_Type,HP_or_lbs_thr_ea_engine,Max_speed_Knots,Rcmnd_cruise_Knots,Stall_Knots_dirty,Fuel_gal_lbs,All_eng_service_ceiling,All_eng_rate_of_climb,Takeoff_over_50ft,Takeoff_ground_run,Landing_over_50ft,Landing_ground_roll,Gross_weight_lbs,Empty_weight_lbs,Length_ft_in,Height_ft_in,Wing_span_ft_in,Range_NM,
Beechcraft (Hawker Beechcraft),Super III Musketeer (A-23-24),Piston,200,137,130,52,60,"14,850",880,"1,380",950,"1,300",660,"2,550","1,410",25/1,8/2,32/7,643,
Beechcraft (Hawker Beechcraft),C 23 Sundowner (pre '76 fuel=52 gal) pre'82=less mph,Piston,180,128,116,51,57,"12,600",792,"1,955","1,130","1,484",703,"2,450","1,494",25/9,8/3,32/9,565,
Beechcraft (Hawker Beechcraft),Custom III Musketeer,Piston,180,127,120,50,60,"11,870",728,"1,460",990,"1,260",640,"2,400","1,375",25/1,8/2,32/7,565,
Beechcraft (Hawker Beechcraft),"A 23, A23A Musketeer (A=2,400 lb gross)",Piston,165,127,120,50,60,"11,870",880,"1,460",990,"1,260",640,"2,350","1,325",25/1,8/2,32/7,565,
Beechcraft (Hawker Beechcraft),23 Musketeer,Piston,160,123,111,52,60,"13,500",720,"1,275",925,"1,260",640,"2,300","1,300",25/1,8/2,32/7,800,
Beechcraft (Hawker Beechcraft),B 19 Sport 150 (76' & prior fuel=52 gal),Piston,150,110,107,50,57,"11,650",680,"1,635","1,030","1,693",824,"2,150","1,414",25/9,8/3,32/9,643,
Beechcraft (Hawker Beechcraft),"A 23-19, Sport III, Musketeer",Piston,150,122,114,48,60,"14,900",900,"1,255",840,"1,220",590,"2,200","1,325",25/1,8/2,32/7,800,
Beechcraft (Hawker Beechcraft),77 Skipper ('79-'80 height=7/11),Piston,115,106,97,47,29,"12,900",720,"1,280",780,"1,313",670,"1,675","1,103",24/0,6/11,30/0,370,
Beechcraft (Hawker Beechcraft),Bellanca Inc.,,,,,,,,,,,,,,,,,,,
Beechcraft (Hawker Beechcraft),"17-31 ATC Turbo, 300-Lyc. (prior '78=8 gal less)",Piston,300,193,187,61,68,"24,000","1,170","1,420",980,"1,340",835,"3,325","2,372",26/4,7/4,34/2,760,
Beechcraft (Hawker Beechcraft),"17-31A, (prior '78=8 gal less fuel + 6 mph less)",Piston,300,174,165,61,68,"18,200","1,170","1,420",980,"1,340",835,"3,325","2,247",26/4,7/4,34/2,483,
Beechcraft (Hawker Beechcraft),"17-31TC, Turbo Super Viking (Lycoming eng)",Piston,250,193,187,54,72,"24,000","1,800",890,460,"1,100",575,"3,200","2,010",23/7,7/4,34/2,760,
Beechcraft (Hawker Beechcraft),"17-30A, (1979 & up; 1993 & up + 5 mph; IO-550 +6 mph)",Piston,300,181,176,61,68,"20,000","1,210","1,420",,"1,340",,"3,325","2,185",26/4,7/4,34/2,550,
Beechcraft (Hawker Beechcraft),"17-30A, 300-Cont.('78=8 gal more fuel & +11 mph)",Piston,300,166,163,61,60,"17,000","1,085","1,420",980,"1,340",835,"3,325","2,217",26/4,7/4,34/2,550,
Beechcraft (Hawker Beechcraft),17-30-300 Viking (Continental eng),Piston,300,167,163,54,58,"21,000","1,840",890,450,"1,050",575,"3,200","1,900",23/7,7/5,34/2,550,
Beechcraft (Hawker Beechcraft),"14-19-3A,260 A,B,C",Piston,260,181,177,54,58,"22,500","1,500",990,550,825,400,"3,000","1,750",23/6,6/5,34/2,639,
Beechcraft (Hawker Beechcraft),14-19-2 Cruisemaster,Piston,230,179,170,42,40,"20,000","1,400","1,025",760,"1,150",470,"2,700","1,640",22/9,6/2,34/2,452,
Beechcraft (Hawker Beechcraft),14-19 Cruisemaster,Piston,190,174,157,38,40,"21,500","1,250","1,270",850,"1,025",450,"2,600","1,575",23/0,6/2,34/2,435,
Beechcraft (Hawker Beechcraft),14-13 Cruiseair Sr.,Piston,150,147,130,38,40,"19,500","1,100","1,350",606,975,437,"2,100","1,520",21/2,6/2,34/2,591,
Bombardier Aerospace Business Aircraft,60 (standard configuration),Jet,"4,600",458,,,,"51,000",,"5,360",,"3,750",,"22,750","13,922",58/7,14/7,43/8,"2,740",
Bombardier Aerospace Business Aircraft,Global Express XRS,Jet,"14,750",.89 Mach,.85 Mach,,"44,975","51,000",,,"6,190",,"2,670","98,000","51,200",99/5,25/6,94/0,"6,190",
Bombardier Aerospace Business Aircraft,55C,Jet,"3,700",455,,,"6,690","51,000",,"4,900",,"3,100",,"21,000","12,622",55/1,14/8,43/9,,
Bombardier Aerospace Business Aircraft,Global 6000,Jet,"14,750",.89 Mach,.85 Mach,,"45,050","51,000",,,"6,476",,"2,670","99,750","52,230",99/5,25/6,94/0,"6,000",
Bombardier Aerospace Business Aircraft,55C/ER,Jet,"3,700",455,,,"7,049","51,000",,"5,150",,"3,100",,"21,500","12,686",55/1,14/8,43/9,,
Bombardier Aerospace Business Aircraft,Global 5000,Jet,"14,750",.89 Mach,.85 Mach,,"36,000","51,000",,,"5,000",,"2,670","98,000","50,830",96/10,25/6,94/0,"4,800",
Bombardier Aerospace Business Aircraft,Challenger 850ER,Jet,"8,729",.80 Mach,.77 Mach,,"18,305","41,000",,,"6,305",,"2,910","53,000","34,167",87/10,20/5,69/7,"3,044",
Bombardier Aerospace Business Aircraft,55C/LR,Jet,"3,700",455,,,"7,707","51,000",,"5,150",,"3,100",,"21,500","12,816",55/1,14/8,43/9,,
Bombardier Aerospace Business Aircraft,55 (1984-'85),Jet,"3,700",455,417,,"6,707","51,000","4,059","5,600",,"3,300",,"21,500","12,135",55/1,14/8,43/9,"1,715",
Bombardier Aerospace Business Aircraft,CL-601-3A Challenger (3R=long-range),Jet,"8,650",,442,103,"16,665","41,000","4,443","5,400",,"3,300",,"43,250","20,485",68/5,20/8,64/4,,
Bombardier Aerospace Business Aircraft,55 (thru 1983),Jet,"3,700",457,,,"6,707","51,000","4,380","4,540",,"3,109",,"19,500","12,130",55/1,14/8,43/9,"1,715",
Bombardier Aerospace Business Aircraft,CL-601 Challenger (GE engs),Jet,"8,650",480,442,,"16,665","41,000","4,200","5,400",,"3,300",,"43,250","19,950",68/5,20/8,61/10,"3,391",
Bombardier Aerospace Business Aircraft,45XR,Jet,"3,500",0.81,0.79,,"6,062","51,000",,,,,"2,660","21,750","13,743",57/6,14/13,47/78,"2,098",
Bombardier Aerospace Business Aircraft,CL-600 Challenger (AVCO engs),Jet,"7,500",480,442,,"14,890","41,000","3,400","5,700",,"3,300",,"41,400","18,660",68/5,20/8,61/10,"2,991",
Bombardier Aerospace Business Aircraft,CL-604 Challenger,Jet,"8,729",,459,,"20,000","41,000",,,,,,"47,700",,68/5,20/8,64/4,,
Bombardier Aerospace Business Aircraft,45,Jet,"3,500",0.81,0.79,,"6,062","51,000",,,,,"2,660","20,750",,57/6,14/13,47/78,"2,102",
Bombardier Aerospace Business Aircraft,Challenger 605,Jet,"8,729",.82 Mach,.80 Mach,,"20,000","41,000",,,"5,684",,"2,777","48,300","26,985",68/5,20/8,64/4,"4,045",
Bombardier Aerospace Business Aircraft,40,Jet,"3,500",0.81,0.79,,"5,300 lb","51,000",,,,,"2,660","20,600",,55/5,14/13,47/78,"1,803",
Bombardier Aerospace Business Aircraft,Challenger 300,Jet,"6,826",470,459,,"14,100","45,000",,,"4,750",,"2,610","38,650","23,350",68/63,20/33,63/84,"3,100",
Bombardier Aerospace Business Aircraft,"36 A (prior'82 = gross weight @ 18,000)",Jet,"3,500",491,460,99,"7,400","45,000","4,340","4,972",,"3,075",,"18,300","9,838",48/8,12/3,39/6,"2,289",
Bombardier Aerospace Business Aircraft,36,Jet,"3,500",477,441,105,"7,431","45,000","5,100","4,080",,"3,105",,"17,000","8,802",48/7,12/3,39/5,"2,289",
Bombardier Aerospace Business Aircraft,35A,Jet,"3,500",471,460,99,"6,198","45,000","4,760","4,972",,"3,075",,"18,300","9,838",48/8,12/3,39/6,"1,818",
Bombardier Aerospace Business Aircraft,35,Jet,"3,500",477,441,105,"6,171","45,000","5,100","4,080",,"3,105",,"17,000","8,762",48/7,12/3,39/5,"1,818",
Bombardier Aerospace Business Aircraft,31 Std. (31A Vmo = 476 kts),Jet,"3,500",447,,,"4,110","51,000",,"2,950",,"2,800",,"15,500","9,857",48/8,12/3,43/9,,
Bombardier Aerospace Business Aircraft,29 Longhorn,Jet,"2,950",478,441,79,"5,373","47,900","6,110","2,880",,"2,220",,"15,000","8,157",47/7,12/3,43/9,"1,546",
Bombardier Aerospace Business Aircraft,28 Longhorn,Jet,"2,950",475,441,79,"4,704","48,800","6,350","2,630",,"2,220",,"15,000","8,195",47/7,12/3,43/9,"1,450",
Bombardier Aerospace Business Aircraft,25G,Jet,"2,950",,464,,"6,594","51,000","5,720","4,893",,"2,728",,"16,300","8,250",47/7,12/3,35/7,"1,450",
Bombardier Aerospace Business Aircraft,"25 D,F w/6 engs=45,000 service ceiling (prior '82 more rate of climb)",Jet,"2,950",464,459,97,"6,098","51,000","6,830","3,937",,"2,817",,"15,000","7,950",47/7,12/3,35/7,"1,431",
Bombardier Aerospace Business Aircraft,25 B (1973 thru 1975),Jet,"2,950",464,441,104,"6,098","45,000","6,050","5,186",,"3,090",,"15,000","7,355",47/6,12/3,35/7,"1,450",
Bombardier Aerospace Business Aircraft,25 C (1973 thru 1975),Jet,"2,950",464,441,104,"7,464","45,000","6,050","5,186",,"3,090",,"15,000","7,233",47/6,12/3,35/7,"1,525",
Bombardier Aerospace Business Aircraft,25 B & C (thru '72),Jet,"2,950",477,442,90,"6,098","45,000","6,050","5,186",,"2,703",,"15,000","7,206",47/6,12/6,35/6,"1,385",
Bombardier Aerospace Business Aircraft,"24 F (w/8A engs=51,000 service ceil)",Jet,"2,950",475,441,88,"5,628","45,000","7,100","3,297",,"2,873",,"13,500","7,130",43/3,12/3,35/6,"1,001",
Bombardier Aerospace Business Aircraft,"24 E (prior to '77=12,499 gross)",Jet,"2,950",477,441,88,"4,791","45,000","7,220","3,000",,"2,789",,"12,900","7,025",43/3,12/3,35/6,730,
Bombardier Aerospace Business Aircraft,24 D (1973 thru 1975),Jet,"2,950",464,441,99,"5,628","45,000","6,800","3,917",,"2,800",,"13,500","6,988",43/3,12/3,35/7,"1,001",
Bombardier Aerospace Business Aircraft,24 D (thru'72),Jet,"2,950",477,442,87,840,"45,000","6,800","3,917",,"2,703",,"13,500","6,803",43/3,12/6,35/6,"1,001",
Bombardier Aerospace Business Aircraft,24 C,Jet,"2,950",461,442,88,715,"45,000","6,900","3,370",,"2,850",,"12,500","6,519",43/3,12/6,35/6,"1,385",
Bombardier Aerospace Business Aircraft,24 B,Jet,"2,950",474,437,88,834,"45,000","6,300","3,100","2,250","3,307","1,850","13,500","6,927",43/3,12/7,35/7,"1,001",
Bombardier Aerospace Business Aircraft,24 Twin Jet,Jet,"2,850",469,417,90,847,"41,000","6,300","3,100","2,700","3,350","1,848","13,000","7,090",43/2,12/6,35/7,"1,100",
Bombardier Aerospace Business Aircraft,23 Twin Jet,Jet,"2,850",488,423,89,828,"41,000","6,900","2,940","1,820","2,800","1,400","12,500","6,700",43/2,12/0,35/7,"1,000",
Cessna Aircraft Company,750 Citation X,Jet,"6,400",.92 Mach,511,,"13,000","51,000","3,720","5,710",,"3,820",,"35,700","21,400",72/2,18/9,63/9,"3,250",
Cessna Aircraft Company,680 Citation Sovereign,Jet,"5,770",.80 Mach,446,,"11,216","47,000",,,"3,640","2,650",,"30,300","17,750",63/7,20/5,63/4,"2,664",
Cessna Aircraft Company,650 Citation VII,Jet,"4,000",.85 Mach,476,97,"7,385","51,000","4,442","4,690",,"2,910",,"22,450","13,700",55/5,16/8,53/5,"2,300",
Cessna Aircraft Company,Citation XLS,Jet,"3,991",.75 Mach,354,,"6,740","45,000","2,460",,"3,560",,"2,739","20,200","12,600",51/10,17/2,56/4,"1,724",
Cessna Aircraft Company,650 Citation VI,Jet,"3,650",473,,97,"7,385","51,000","1,520","5,150",,"2,900",,"22,000","12,775",55/5,16/8,53/5,"2,345",
Cessna Aircraft Company,650 Citation III (SN 100 and up),Jet,"3,650",472,461,97,"7,384","51,000","3,699","5,030",,"2,900",,"22,000","11,811",55/6,16/9,53/6,"2,600",
Cessna Aircraft Company,650 Citation III (thru SN 099),Jet,"3,650",472,,89,"7,384","51,000","3,909","4,710",,"2,560",,"21,000","11,720",55/6,17/3,53/6,"2,600",
Cessna Aircraft Company,560-XL Citation Excel,Jet,"3,786",.76 Mach,429,82,"6,590",,"3,090","3,460",,"3,315",,"19,200","11,310",51/10,17/2,55/8,"2,027",
Cessna Aircraft Company,Citation Encore,Jet,"3,400",.755 Mach,427,83,"5,440","45,000","4,500",,"3,490",,,"16,830","9,977",48/9,15/2,54/1,"1,970",
Cessna Aircraft Company,560 Citation V Ultra,Jet,"3,045",.76 Mach,430,82,"5,771",,"4,230","3,180",,"2,800",,"16,300","9,550",48/11,15/0,52/2,"1,960",
Cessna Aircraft Company,560 Citation V,Jet,"2,900",,425,85,"5,820","45,000",,"3,160",,"2,920",,"15,900","8,950",48/11,15/0,52/2,,
Cessna Aircraft Company,550 Citation Bravo,Jet,"2,887",.70 Mach,401,86,"4,860",,"3,195","3,600",,"3,180",,"14,800","8,925",47/2,15/0,52/2,"1,900",
Cessna Aircraft Company,S550 Citation SII,Jet,"2,500",,403,82,"5,820","43,000","3,000","3,240",,"3,050",,"15,000","8,049",47/2,15/0,52/2,"2,104",
Cessna Aircraft Company,Citation II 550 (SN 627 & up),Jet,"2,500",,385,,5008,,"3,050","3,450",,"2,414",,"14,100","7,706",47/2,15/0,52/2,,
Cessna Aircraft Company,Citation II 550 (thru SN 626),Jet,"2,500",,385,82,"5,008","43,000","3,370","2,990",,"2,270",,"13,300","7,388",47/2,15/0,52/2,"1,930",
Cessna Aircraft Company,Citation II 551,Jet,"2,500",,385,82,"5,009","43,000","3,625","2,650",,"2,210",,"12,500","7,181",47/2,15/0,52/2,"2,104",
Cessna Aircraft Company,Citation CJ3 525B,Jet,"2,820",.737 Mach,351,,"4,710","45,000","2,460",,"3,180","2,770",,"13,870","8,300",50/2,15/2,53/4,"1,875",
Cessna Aircraft Company,Citation CJ2+ 525A,Jet,"2,490",.737 Mach,356,86,"3,930","45,000","4,120",,"3,360",,"2,980","12,500","7,725",47/8,14/0,49/0,"1,613",
Cessna Aircraft Company,Citation CJ2 525A,Jet,"2,400",.72 Mach,352,,"3,930","45,000",,,"3,420",,"2,619","12,375","7,715",47/8,14/0,49/0,"1,550",
Cessna Aircraft Company,Citation CJ1+ 525,Jet,"1,965",.71 Mach,353,83,"3,220","41,000","3,290",,"3,250",,"2,590","10,700","6,765",42/7,13/9,46/11,"1,300",
Cessna Aircraft Company,Citation CJ1 525,Jet,"1,900",.71 Mach,329,,"3,220","41,000",,,"3,280",,"2,488","10,600","6,770",42/7,13/9,46/11,"1,248",
Cessna Aircraft Company,Citationjet 525,Jet,"1,900",.71 Mach,380,85,"3,220","41,000","3,311","3,080",,"2,750",,"10,400","6,550",42/6,13/7,46/8,"1,485",
Cessna Aircraft Company,Citation Mustang 510,Jet,"1,350",340,,,,"41,000",,,"3,110",,"2,390",,,40/7,13/5,43/2,"1,150",
Cessna Aircraft Company,Citation I 500/501 (unit-0470 thru -0677 & on),Jet,"2,200",,357,82,"3,807","41,000","2,719","2,930",,"2,270",,"11,850","6,631",43/6,14/4,47/1,"1,325",
Cessna Aircraft Company,Citation I 500,Jet,"2,200",,351,,"3,780","41,000","2,680","2,930*",,"2,270",,"11,850","6,684",43/6,14/4,47/1,"1,325",
Cessna Aircraft Company,"Citation 500 (SN 303 & up = 11,850 lb gross)",Jet,"2,200",,348,85,"3,780","41,000","2,900","2,660*",,"2,300",,"11,500",6454,43/6,14/4,43/11,"1,308",
Cessna Aircraft Company,Citation 500 (SN 1-70),Jet,"2,200",,348,84,"3,618","35,000","2,900","2,550*",,"2,310",,"10,850","6,350",43/6,14/4,43/9,"1,064",
Cessna Aircraft Company,441 Conquest,Propjet,625,295,283,76,475,"35,000","2,435","2,465","1,785","1,875","1,095","9,850","5,682",39/0,13/2,49/4,"2,193",
Cessna Aircraft Company,425 Conquest I,Propjet,450,263,,84,366,"33,400","1,861","2,490","2,170","2,150",955,"8,600","4,948",35/10,12/7,44/1,"1,248",
Cessna Aircraft Company,425 Corsair,Propjet,450,263,250,79,366,"34,700","2,027","2,341","2,047","2,145",952,"8,200","4,915",35/10,12/7,44/1,"1,461",
Cessna Aircraft Company,421C Golden Eagle III ('79 stall=85 mph),Piston,375,257,241,74,213,"30,200","1,940","2,323","1,786","2,293",720,"7,450","5,048",36/5,12/11,41/1,"1,197",
Cessna Aircraft Company,421B Golden Eagle,Piston,375,245,235,74,175,"31,000","1,850","2,387","1,860","2,178",720,"7,450","4,426",36/1,11/6,41/9,845,
Cessna Aircraft Company,421 - A & B,Piston,375,240,227,76,175,"26,000","1,700","2,516","2,012","2,110","1,045","6,840","4,252",33/8,11/4,39/9,826,
Cessna Aircraft Company,421 pressurized/turbocharged,Piston,375,240,222,76,170,"26,000","1,700","2,516","2,012","2,110","1,045","6,800","4,237",33/5,11/4,39/9,826,
Cessna Aircraft Company,414A II Chancellor (pressurized-turbo) ('78 span=44/3),Piston,310,235,224,72,213,"30,800","1,520","2,595","2,185","2,393","1,013","6,750","4,543",36/4,11/5,44/1,"1,099",
Cessna Aircraft Company,414 pressurized-turbocharged,Piston,310,239,224,70,102,"30,100","1,580","2,350","1,695","1,865",805,"6,350","4,039",33/9,11/8,39/11,"1,090",
Cessna Aircraft Company,"411, A, turbocharged",Piston,340,231,214,72,175,"26,000","1,900","2,010","1,560","1,851","1,240","6,500","3,865",33/5,11/4,39/9,908,
Cessna Aircraft Company,404 Titan Ambassador II,Piston,375,232,217,70,348,"26,000","1,575","2,367","1,788","2,130","1,100","8,400","4,965",39/6,13/3,46/4,553,
Cessna Aircraft Company,402C Business Liner II,Piston,325,230,213,68,213,"26,900","1,450","2,195","1,763","2,485","1,055","6,850","4,238",36/4,11/5,44/1,875,
Cessna Aircraft Company,"402B, Business Liner",Piston,300,229,210,70,102,"26,180","1,610","2,220","1,695","1,765",777,"6,300","4,038",36/1,11/8,39/11,"1,180",
Cessna Aircraft Company,"402,-A turbocharged",Piston,300,227,209,69,102,"26,180","1,610","2,220","1,695","1,765",777,"6,300","3,719",35/8,11/7,39/9,833,
Cessna Aircraft Company,"401,-A & B turbocharged",Piston,300,227,209,69,102,"26,180","1,610","2,220","1,695","1,765",777,"6,300","3,674",33/8,11/7,39/9,"1,102",
Cessna Aircraft Company,"340 A, II pressurized/turbocharged",Piston,310,243,229,71,102,"29,800","1,650","2,175","1,615","1,850",770,"5,990","4,184",34/4,12/7,38/1,"1,106",
Cessna Aircraft Company,340 pressurized/turbocharged,Piston,285,226,210,71,102,"26,500","1,500","2,430","1,760","1,840",765,"5,975","3,730",34/4,12/6,38/1,"1,258",
Cessna Aircraft Company,335 II nonpressurized/turbocharged,Piston,300,230,215,71,102,"26,800","1,400","2,365","1,850","1,850",770,"5,990","3,963",34/4,12/7,38/1,928,
Cessna Aircraft Company,"320D-E-F Skyknight turbo (D=5,200 g/w)",Piston,285,239,226,64,102,"29,000","1,924","1,515","1,190","1,734",614,"5,300","3,273",29/6,10/4,36/9,735,
Cessna Aircraft Company,320 A-B-C Skyknight turbocharged,Piston,260,229,213,63,102,"28,100","1,820","1,584","1,050","1,910",640,"5,200","3,260",29/6,10/3,36/9,735,
Cessna Aircraft Company,320 Skyknight turbocharged,Piston,260,230,204,68,102,"28,100","1,820","1,890",870,"2,056",640,"4,990","3,190",29/5,10/3,36/9,740,
Cessna Aircraft Company,"T 310 R, II turbocharged",Piston,285,237,223,70,102,"27,400","1,700","1,662","1,306","1,790",640,"5,500","3,723",31/11,10/8,36/11,517,
Cessna Aircraft Company,T 310 Q turbocharged,Piston,285,238,225,67,102,"28,200","1,790","1,662","1,306","1,790",640,"5,500","3,292",29/6,10/4,36/9,807,
Cessna Aircraft Company,T 310 P turbocharged,Piston,285,239,226,66,102,"28,600","1,862","1,590","1,250","1,790",640,"5,400","3,292",29/3,10/4,36/9,807,
Cessna Aircraft Company,"310 R, II",Piston,285,207,194,70,102,"19,750","1,662","1,700","1,335","1,790",640,"5,500","3,603",31/11,10/8,36/11,661,
Cessna Aircraft Company,310 Q,Piston,260,205,192,63,102,"19,500","1,495","1,795","1,519","1,697",582,"5,300","3,214",29/6,10/4,36/9,680,
Cessna Aircraft Company,310 P,Piston,260,206,193,62,102,"19,900","1,540","1,716","1,451","1,673",558,"5,200","3,170",29/2,10/4,36/9,676,
Cessna Aircraft Company,"310K,L,N (fuel inj.)",Piston,260,206,193,65,102,"19,900","1,540","1,716","1,451","1,582","1,002","5,200","3,125",29/5,9/11,36/11,676,
Cessna Aircraft Company,"310 I, J (fuel inj.)",Piston,260,207,194,65,102,"20,300","1,590","1,640","1,385","1,540",960,"5,100","3,094",29/6,9/11,36/11,687,
Cessna Aircraft Company,310 H (fuel inj.),Piston,260,209,194,65,102,"21,100","1,690","1,545","1,920","1,900",690,"5,100","3,063",29/5,9/9,37/5,687,
Cessna Aircraft Company,"310 F,-G (fuel inj.)",Piston,260,210,191,73,102,"21,300","1,800","1,395","1,120","1,720","1,265","4,990","3,049",29/5,9/9,36/9,678,
Cessna Aircraft Company,"310,-A",Piston,240,191,178,71,102,"19,500","1,700","1,375","1,120","1,710","1,285","4,600","2,850",27/1,10/5,36/1,640,
Cessna Aircraft Company,T303 Crusader,Piston,250,216,180,62,155,"25,000","1,480","1,750","1,275","1,450",820,"5,000","3,305",30/5,13/4,38/10,835,
Cessna Aircraft Company,"T 337 G-P II,H-P, Skymaster pressurized",Piston,225,211,204,62,150,"20,000","1,170","1,500",945,"1,675",795,"4,700","3,184",29/10,9/2,38/2,939,
Cessna Aircraft Company,"T-337 H-II (prior'79 t/o perf=1,620 & 1,000)",Piston,210,207,200,62,90,"20,000","1,160","1,675","1,000","1,650",700,"4,630","3,038",29/10,9/2,38/2,"1,080",
Cessna Aircraft Company,T 337 E & F Skymaster turbocharged,Piston,210,200,194,61,93,"29,300","1,105","1,675","1,000","1,650",700,"4,630","2,850",29/10,9/4,38/2,920,
Cessna Aircraft Company,T 337 D Skymaster turbocharged,Piston,210,201,195,61,93,"30,100","1,155","1,595",935,"1,650",700,"4,500","2,815",29/10,9/4,38/0,920,
Cessna Aircraft Company,T 337 C Skymaster turbocharged,Piston,210,201,195,59,93,"30,100","1,155","1,595",935,"1,520",600,"4,500","2,795",29/10,9/4,38/0,920,
Cessna Aircraft Company,T 337 B Skymaster turbocharged,Piston,210,202,196,57,93,"31,000","1,250","1,490",845,"1,500",590,"4,300","2,785",29/1,9/4,38/0,920,
Cessna Aircraft Company,"337 G,H II Skymaster (prior '79 service ceiling=18,000)",Piston,210,172,169,61,90,"16,300",940,"1,675","1,000","1,650",700,"4,630","2,925",29/9,9/4,38/2,"1,139",
Cessna Aircraft Company,337 F Skymaster,Piston,210,173,165,61,93,"18,000","1,100","1,675","1,000","1,650",700,"4,630","2,695",29/9,9/4,38/2,920,
Cessna Aircraft Company,337 E Skymaster,Piston,210,173,166,60,93,"19,300","1,180","1,565",910,"1,650",700,"4,440","2,660",29/9,9/4,38/2,922,
Cessna Aircraft Company,337 D Skymaster,Piston,210,173,166,60,93,"19,500","1,200","1,545",895,"1,650",700,"4,400","2,655",29/9,9/4,38/0,920,
Cessna Aircraft Company,337 C Skymaster,Piston,210,173,166,58,93,"19,500","1,200","1,545",895,"1,520",600,"4,400","2,650",29/9,9/4,38/0,922,
Cessna Aircraft Company,337 B Skymaster,Piston,210,174,167,57,93,"20,000","1,250","1,490",845,"1,500",590,"4,300","2,615",29/9,9/4,38/0,922,
Cessna Aircraft Company,"337,-A, Skymaster",Piston,210,174,167,55,93,"20,500","1,200","1,435",805,"1,465",757,"4,200","2,615",29/9,9/4,38/0,922,
Cessna Aircraft Company,336 Skymaster fixed-gear,Piston,210,159,150,52,93,"19,000","1,300","1,145",790,"1,395",575,"3,900","2,320",29/7,9/4,38/0,880,
Cessna Aircraft Company,208B Caravan I Super Cargomaster,Propjet,600,,171,61,332,"21,900",,"2,840","1,575","1,740",915,"8,750","4,550",41/7,14/10,52/1,,
Cessna Aircraft Company,208 Caravan I (thru SN 0060=w/o high gross kit),Propjet,600,183,,60,332,"27,600","1,215","1,665",970,"1,550",645,"7,300","3,800",37/7,14/2,51/8,,
Cessna Aircraft Company,208 Caravan-675,Propjet,675,182,154,61,335,"25,000","1,234","2,053","1,160","1,655",745,"8,000","3,973",37/6,14/8,52/1,866,
Cessna Aircraft Company,208B Grand Caravan,Propjet,675,186,154,61,335,"23,700",975,"2,420",,"1,880",,"8,750","4,765",41/7,15/6,52/1,810,
Cessna Aircraft Company,P210R pressurized,Piston,325,224,212,55,85,"25,000","1,150","2,110","1,270","1,600",825,"4,100","2,471",28/4,9/8,38/10,715,
Cessna Aircraft Company,P210N II pressurized ('81=less performance),Piston,310,201,191,58,90,"23,000",945,"2,160","1,300","1,500",765,"4,000","2,481",28/2,9/8,36/9,661,
Cessna Aircraft Company,T210R Turbo Centurion,Piston,325,224,207,55,87,"29,000","1,150","2,110","1,270","1,600",825,"4,100","2,320",28/4,9/8,38/10,715,
Cessna Aircraft Company,T210N Turbo Centurion,Piston,310,204,192,58,90,"27,000",930,"2,160","1,300","1,500",765,"4,000","2,303",28/2,9/8,36/9,715,
Cessna Aircraft Company,"T 210 M Turbo (prior '77 length=28/3, hgt=9/8)",Piston,310,204,197,57,90,"28,500","1,030","1,900","1,150","1,500",765,"3,800","2,306",28/2,9/5,36/9,732,
Cessna Aircraft Company,"T 210 K,L Turbo (K=9 mph less speed)",Piston,285,205,187,57,90,"28,500",930,"2,030","1,170","1,500",765,"3,800","2,180",28/3,9/8,36/9,732,
Cessna Aircraft Company,"T 210 G,H & J Turbo Centurion",Piston,285,203,194,55,89,"30,200","1,115","1,365",800,"1,355",625,"3,400","2,050",28/3,9/7,36/9,739,
Cessna Aircraft Company,T 210 F Turbo Centurion,Piston,285,200,191,54,65,"31,300","1,280","1,265",675,"1,340",735,"3,300","1,965",28/0,9/9,36/7,539,
Cessna Aircraft Company,210R Centurion,Piston,300,175,,53,87,"16,000","1,060","2,050","1,215","1,585",815,"3,850","2,220",28/2,9/8,38/10,600,
Cessna Aircraft Company,"210 M,NII (prior'78=less svc. ceil. & r/o/c=860)",Piston,300,174,170,57,90,"17,300",950,"2,030","1,250","1,500",765,"3,800","2,219",28/2,9/8,36/9,600,
Cessna Aircraft Company,"210 G, H & J, K, L Centurion",Piston,285,174,167,55,90,"18,300","1,000","1,365",800,"1,355",625,"3,400","1,960",28/3,9/8,36/9,760,
Cessna Aircraft Company,210 F Centurion,Piston,285,172,165,54,65,"19,900","1,115","1,265",675,"1,340",735,"3,300","1,865",28/0,9/9,36/7,640,
Cessna Aircraft Company,210 D & E Centurion,Piston,285,173,166,53,65,"21,000","1,210","1,110",590,"1,275",700,"3,100","1,860",28/4,9/9,36/7,640,
Cessna Aircraft Company,"210 B,C Two Ten",Piston,260,170,160,52,65,"20,300","1,270","1,210",625,"1,110",725,"3,000","1,780",27/3,9/7,36/6,680,
Cessna Aircraft Company,210 A,Piston,260,173,165,51,65,"20,700","1,300","1,135",620,"1,190",750,"2,900","1,740",27/3,9/7,36/5,700,
Cessna Aircraft Company,T 207 (Stationair 7 & 8) '77=eng 310 hp,Piston,310,170,161,59,61,"26,000",885,"1,860","1,030","1,500",765,"3,800","2,254",32/2,9/7,35/10,583,
