License Number,Entity Name,Telephone Number,SHL Endorsed,Wheelchair Accessible Vehicles,Building,Street,City,State,Postcode,Type of Base,Date,Time,Latitude,Longitude,Batch Date,Location
B00131,NEW MEXICANA CAR SERVICE II INC.,7184361111,Yes,,507,40 STREET,BROOKLYN,NY,11232,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.650545,-74.0042,10/20/2017 06:00:30 PM,"(40.650545, -74.0042)"
B01663,CIBAO RADIO DISPATCH,7184782300,Yes,,112-44,ROOSEVELT AVENUE,CORONA,NY,11368,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.752202,-73.85365,10/20/2017 06:00:30 PM,"(40.752202, -73.85365)"
B02379,THE OPTION TRANSPORTATION CORP.,7185371212,Yes,1,1758,EAST  174 STREET,BRONX,NY,10472,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.838215,-73.92609,10/20/2017 06:00:30 PM,"(40.838215, -73.92609)"
B02461,NEW HEAVEN RADIO DISPATCH CORP,2129231212,Yes,,1059,ST NICHOLAS AVENUE,NYC,NY,10032,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.836953,-73.94037,10/20/2017 06:00:30 PM,"(40.836953, -73.94037)"
B01259,THE NEW BROOKLYN C/S INC,7183882828,Yes,,390,BROADWAY  1FL,BROOKLYN,NY,11211,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.709336,-73.95656,10/20/2017 06:00:30 PM,"(40.709336, -73.95656)"
B01811,IVOIRE LIMO INC.,2122891600,Yes,,153,LINCOLN AVENUE,BRONX,NY,10454,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.805268,-73.94131,10/20/2017 06:00:30 PM,"(40.805268, -73.94131)"
B01510,JPAN TRANSPORTATION INC,7182063300,Yes,4,159-06,HILLSIDE AVENUE,JAMAICA,NY,11432,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.707728,-73.8025,10/20/2017 06:00:30 PM,"(40.707728, -73.8025)"
B01734,AMERICAN DREAM CAR SERVICE INC.,2124261010,Yes,11,297,PLEASANT AVENUE,NEW YORK,NY,10029,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.794972,-73.93357,10/20/2017 06:00:30 PM,"(40.794972, -73.93357)"
B02806,"KALIA & SONS LIMOUSINE, INC.",7185912222,Yes,2,149-17A,UNION TURNPIKE,FLUSHING,NY,11367,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.718909,-73.813241,10/20/2017 06:00:30 PM,"(40.718909, -73.813241)"
B02182,"FINEST CAR SERVICE, LLC",3475878364,Yes,30,335,BOND STREET,BROOKLYN,NY,11231,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.678782,-73.98998,10/20/2017 06:00:30 PM,"(40.678782, -73.98998)"
B90612,ESTHER TRANSPORTATION INC.,7189871555,Yes,10,71,BAY 14 STREET,BROOKLYN,NY,11214,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.607591,-74.007126,10/20/2017 06:00:30 PM,"(40.607591, -74.007126)"
B01534,METRO CAR SERVICE CORP.,7183881800,Yes,,390,METROPOLITAN AVENUE,BROOKLYN,NY,11211,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.713899,-73.95531,10/20/2017 06:00:30 PM,"(40.713899, -73.95531)"
B00647,KISS CAR SERVICE INC,7187331111,Yes,1,2774,WEBSTER AVENUE,BRONX,NY,10458,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.865895,-73.88565,10/20/2017 06:00:30 PM,"(40.865895, -73.88565)"
B01522,"STM ENTERPRISES,INC",7183835600,Yes,,252,JAVA STREET,BROOKLYN,NY,11222,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.733448,-73.95454,10/20/2017 06:00:30 PM,"(40.733448, -73.95454)"
B01109,UNITED EXP C/L SVCE,7184524000,Yes,4,1025,ATLANTIC AVENUE  1 FLOOR,BROOKLYN,NY,11238,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.680038,-73.95798,10/20/2017 06:00:30 PM,"(40.680038, -73.95798)"
B01010,"COLUMBIA STREET LIMOUSINE SERVICE, INC.",7188340333,Yes,25,429,COLUMBIA STREET,BROOKLYN,NY,11231,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.677492,-74.006165,10/20/2017 06:00:30 PM,"(40.677492, -74.006165)"
B01963,AFRO CAR SERVICE CORP,7183424200,Yes,,73,HEGEMAN AVENUE,BROOKLYN,NY,11212,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.65609,-73.90948,10/20/2017 06:00:30 PM,"(40.65609, -73.90948)"
B02301,DOUBLE A CAR SERVICE INC.,7187206666,Yes,,1,FERRY TERMINAL DRIVE,STATEN ISLAND,NY,10301,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.64309,-74.075357,10/20/2017 06:00:30 PM,"(40.64309, -74.075357)"
B02657,MALCOLM LIMO EXPRESS CORP.,2126904000,Yes,1,2548,8 AVENUE,NEW YORK,NY,10030,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.816919,-73.94591,10/20/2017 06:00:30 PM,"(40.816919, -73.94591)"
B02932,GRAND TRANSPORTATION SERVICES INC,7184334255,Yes,11,36-07,32 STREET,LIC,NY,11106,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.755937,-73.928979,10/20/2017 06:00:30 PM,"(40.755937, -73.928979)"
B01332,SKYWAY CAR SERVICE EXPRESS INC.,7183585858,Yes,,68-20A,FRESH MEADOW LANE,QUEENS,NY,11365,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.733337,-73.794706,10/20/2017 06:00:30 PM,"(40.733337, -73.794706)"
B00375,THE EXCELLENT C/S INC,7187319110,Yes,,144,EAST  174 STREET,BRONX,NY,10457,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.844708,-73.90983,10/20/2017 06:00:30 PM,"(40.844708, -73.90983)"
B01081,GEORGE TOWN MANAGEMENT INC,7186422222,Yes,15,919,EAST  107 STREET,BROOKLYN,NY,11236,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.648318,-73.89232,10/20/2017 06:00:30 PM,"(40.648318, -73.89232)"
B02219,ALL QUEENS CAR & LIMOUSINE INC.,7183612060,Yes,10,46-17,VERNON BOULEVARD,LIC,NY,11101,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.74628,-73.95263,10/20/2017 06:00:30 PM,"(40.74628, -73.95263)"
B00987,AHSAN INC.,7184342230,Yes,,1702,AVENUE Z  106,BROOKLYN,NY,11235,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.63575,-73.962804,10/20/2017 06:00:30 PM,"(40.63575, -73.962804)"
B02638,EAGER LIMO SERVICE INC.,7183587252,Yes,17,43-10,MAIN STREET  2ND FLR,FLUSHING,NY,11355,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.752286,-73.826739,10/20/2017 06:00:30 PM,"(40.752286, -73.826739)"
B02772,"TAP & RIDE,INC.",3476666666,Yes,12,86-11,LEFFERTS BOULEVARD  SUITE 2A,RICHMOND HILL,NY,11418,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.701122,-73.83138,10/20/2017 06:00:30 PM,"(40.701122, -73.83138)"
